🚗 Urban Intersection Delay Report 🚗
Average Delay: 430.66 seconds
Worst Intersection:
 Intersection_ID  Lane_Width_m  Corner_Radius_m  Green_Time_s  Arrival_Rate_vph  Delay_s
               1      3.061810        19.543769            41              1436    999.0
               4      3.397988        18.422410            41              1436    999.0
               5      2.734028        13.968500            13              1251    999.0
               6      2.733992        18.828114            39              1404    999.0
              14      2.818509        10.351300            45              1453    999.0
              15      2.772737         9.214018            22              1376    999.0
              17      2.956363         7.113863            16               546    999.0
              18      3.287135        17.032955            31              1135    999.0
              20      2.936844        19.803304            11               422    999.0
              23      2.938217         5.082832            15               593    999.0
              25      3.184105        15.602860            37              1183    999.0
              28      3.271352         6.110670            29              1051    999.0
              30      2.569676         6.738036            20               908    999.0
              31      3.411317        17.946551            37              1447    999.0
              35      3.948448         9.664735            10              1063    999.0
              36      3.712596         9.877750            36              1254    999.0
              37      2.956921        15.944093            22               702    999.0
              39      3.526350        18.308191            12              1471    999.0
              41      2.683057         6.793914            15               788    999.0
              42      3.242765        15.698672            17              1228    999.0
              44      3.863981        13.419158            18               637    999.0

Refer to delay_plot.png for visual analysis.
